,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
0,Russia,Praskoveya,51,Moderate,1,Good,36,Good,0,Good,51,Moderate
1,Brazil,Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,Good
2,Italy,Priolo Gargallo,66,Moderate,1,Good,39,Good,2,Good,66,Moderate
3,Poland,Przasnysz,34,Good,1,Good,34,Good,0,Good,20,Good
4,France,Punaauia,22,Good,0,Good,22,Good,0,Good,6,Good
5,USA,Punta Gorda,54,Moderate,1,Good,14,Good,11,Good,54,Moderate
6,Germany,Puttlingen,62,Moderate,1,Good,35,Good,3,Good,62,Moderate
7,Belgium,Puurs,64,Moderate,1,Good,29,Good,7,Good,64,Moderate
8,Russia,Pyatigorsk,54,Moderate,1,Good,41,Good,1,Good,54,Moderate
9,Egypt,Qalyub,142,Unhealthy(SG),3,Good,89,Moderate,9,Good,142,Unhealthy(SG)
10,China,Qinzhou,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate
11,Netherlands,Raalte,41,Good,1,Good,24,Good,6,Good,41,Good
12,India,Radaur,158,Unhealthy,3,Good,139,Unhealthy(SG),1,Good,158,Unhealthy
13,Pakistan,Radhan,158,Unhealthy,1,Good,50,Good,1,Good,158,Unhealthy
14,North Macedonia,Radovis,83,Moderate,1,Good,46,Good,0,Good,83,Moderate
15,France,Raismes,59,Moderate,1,Good,30,Good,4,Good,59,Moderate
16,India,Rajgir,154,Unhealthy,3,Good,100,Unhealthy(SG),2,Good,154,Unhealthy
17,Italy,Ramacca,55,Moderate,1,Good,47,Good,0,Good,55,Moderate
18,USA,Phoenix,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
19,India,Phulabani,161,Unhealthy,2,Good,71,Moderate,0,Good,161,Unhealthy
20,Poland,Piaseczno,28,Good,1,Good,28,Good,2,Good,28,Good
21,India,Pimpri,118,Unhealthy(SG),2,Good,30,Good,2,Good,118,Unhealthy(SG)
22,Brazil,Pindobacu,33,Good,0,Good,10,Good,1,Good,33,Good
23,China,Pingyin,150,Unhealthy,3,Good,95,Moderate,6,Good,150,Unhealthy
24,Brazil,Pinheiral,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy
25,India,Piravam,81,Moderate,1,Good,24,Good,1,Good,81,Moderate
26,Colombia,Plato,67,Moderate,1,Good,16,Good,2,Good,67,Moderate
27,Romania,Poiana Mare,62,Moderate,1,Good,37,Good,1,Good,62,Moderate
28,Russia,Polevskoy,31,Good,1,Good,31,Good,0,Good,17,Good
29,France,Pontarlier,56,Moderate,1,Good,35,Good,0,Good,56,Moderate
30,USA,Pontiac,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
31,Indonesia,Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good
32,Brazil,Porecatu,30,Good,1,Good,9,Good,2,Good,30,Good
33,Finland,Pori,30,Good,1,Good,30,Good,1,Good,15,Good
34,South Africa,Port Elizabeth,79,Moderate,3,Good,18,Good,5,Good,79,Moderate
35,USA,Port Neches,34,Good,1,Good,19,Good,7,Good,34,Good
36,UK,Port Talbot,51,Moderate,1,Good,20,Good,5,Good,51,Moderate
37,USA,Portales,77,Moderate,1,Good,34,Good,0,Good,77,Moderate
38,USA,Post Falls,61,Moderate,1,Good,32,Good,3,Good,61,Moderate
39,Brazil,Pouso Alegre,32,Good,1,Good,7,Good,2,Good,32,Good
40,China,Dalinghe,64,Moderate,3,Good,64,Moderate,4,Good,64,Moderate
41,Russia,Dalnegorsk,29,Good,0,Good,29,Good,0,Good,25,Good
42,Tanzania,Dar Es Salaam,51,Moderate,1,Good,23,Good,0,Good,51,Moderate
43,India,Darbhanga,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,Very Unhealthy
44,USA,Dayton,45,Good,1,Good,32,Good,7,Good,45,Good
45,Belgium,Deinze,36,Good,1,Good,25,Good,3,Good,36,Good
46,Egypt,Dekernes,81,Moderate,2,Good,81,Moderate,4,Good,56,Moderate
47,Haiti,Delmas,124,Unhealthy(SG),2,Good,15,Good,5,Good,124,Unhealthy(SG)
48,USA,Deming,72,Moderate,1,Good,26,Good,2,Good,72,Moderate
49,UK,Denton,55,Moderate,0,Good,32,Good,1,Good,55,Moderate
50,USA,Destin,31,Good,0,Good,31,Good,0,Good,25,Good
51,Pakistan,Dhadar,157,Unhealthy,1,Good,89,Moderate,0,Good,157,Unhealthy
52,India,Dharmapuri,60,Moderate,1,Good,31,Good,1,Good,60,Moderate
53,Pakistan,Digri,153,Unhealthy,1,Good,40,Good,0,Good,153,Unhealthy
54,Somalia,Dinsor,22,Good,0,Good,19,Good,0,Good,22,Good
55,Philippines,Dipolog,30,Good,1,Good,17,Good,0,Good,30,Good
56,Latvia,Dobele,44,Good,1,Good,34,Good,0,Good,44,Good
57,USA,Grandville,47,Good,1,Good,37,Good,4,Good,47,Good
58,Netherlands,Grave,37,Good,0,Good,32,Good,2,Good,37,Good
59,USA,Green Valley,44,Good,1,Good,14,Good,8,Good,44,Good
60,USA,Greendale,58,Moderate,2,Good,14,Good,24,Good,58,Moderate
61,Poland,Grudziadz,37,Good,0,Good,33,Good,0,Good,37,Good
62,Colombia,Guamo,89,Moderate,3,Good,3,Good,6,Good,89,Moderate
63,Italy,Guardiagrele,52,Moderate,2,Good,38,Good,7,Good,52,Moderate
64,Chad,Guelengdeng,59,Moderate,2,Good,16,Good,0,Good,59,Moderate
65,UK,Guildford,51,Moderate,1,Good,25,Good,6,Good,51,Moderate
66,Philippines,Guiset,66,Moderate,1,Good,26,Good,1,Good,66,Moderate
67,Russia,Gukovo,38,Good,1,Good,38,Good,0,Good,13,Good
68,USA,Havre De Grace,34,Good,1,Good,30,Good,7,Good,34,Good
69,USA,Hazelwood,88,Moderate,2,Good,11,Good,20,Good,88,Moderate
70,Germany,Heddesheim,54,Moderate,1,Good,31,Good,3,Good,54,Moderate
71,Germany,Heiligenhaus,44,Good,1,Good,28,Good,3,Good,44,Good
72,UK,Hemel Hempstead,51,Moderate,1,Good,26,Good,6,Good,51,Moderate
73,USA,Hicksville,67,Moderate,2,Good,15,Good,23,Good,67,Moderate
74,Brazil,Hidrolandia,42,Good,1,Good,5,Good,2,Good,42,Good
75,India,Gyanpur,189,Unhealthy,2,Good,99,Moderate,1,Good,189,Unhealthy
76,Germany,Haiger,49,Good,1,Good,25,Good,3,Good,49,Good
77,China,Hangzhou,203,Very Unhealthy,5,Good,203,Very Unhealthy,5,Good,151,Unhealthy
78,Germany,Harrislee,35,Good,0,Good,32,Good,0,Good,35,Good
79,USA,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate
80,India,Harur,67,Moderate,1,Good,26,Good,1,Good,67,Moderate
81,Germany,Hasbergen,36,Good,0,Good,34,Good,1,Good,36,Good
82,France,Haubourdin,48,Good,1,Good,28,Good,4,Good,48,Good
83,USA,Taunton,41,Good,1,Good,28,Good,10,Good,41,Good
84,New Zealand,Tauranga,19,Good,0,Good,19,Good,1,Good,17,Good
85,Tunisia,Tawzar,73,Moderate,1,Good,43,Good,0,Good,73,Moderate
86,Vietnam,Tay Ninh,45,Good,0,Good,18,Good,1,Good,45,Good
87,Iran,Taybad,170,Unhealthy,1,Good,43,Good,0,Good,170,Unhealthy
88,Italy,Teano,47,Good,1,Good,47,Good,1,Good,36,Good
89,India,Tekkali,155,Unhealthy,3,Good,82,Moderate,1,Good,155,Unhealthy
90,Brazil,Teodoro Sampaio,46,Good,1,Good,9,Good,1,Good,46,Good
91,Mexico,Tepeaca,172,Unhealthy,5,Good,2,Good,11,Good,172,Unhealthy
92,Mexico,Tequila,64,Moderate,1,Good,15,Good,2,Good,64,Moderate
93,Italy,Teramo,44,Good,1,Good,44,Good,1,Good,38,Good
94,Vietnam,Thai Nguyen,150,Unhealthy,3,Good,150,Unhealthy,1,Good,105,Unhealthy(SG)
95,China,Tianjin,142,Unhealthy(SG),4,Good,113,Unhealthy(SG),9,Good,142,Unhealthy(SG)
96,Indonesia,Tidore,21,Good,0,Good,13,Good,0,Good,21,Good
97,Romania,Timisoara,47,Good,1,Good,42,Good,0,Good,47,Good
98,Tunisia,Tinjah,48,Good,1,Good,48,Good,1,Good,29,Good
99,Philippines,Toboso,54,Moderate,1,Good,20,Good,0,Good,54,Moderate
100,Japan,Tokorozawa,60,Moderate,1,Good,44,Good,3,Good,60,Moderate
101,Mexico,Toluca,166,Unhealthy,4,Good,8,Good,19,Good,166,Unhealthy
102,Brazil,Itapissuma,27,Good,0,Good,23,Good,1,Good,27,Good
103,Brazil,Itarantim,23,Good,1,Good,7,Good,1,Good,23,Good
104,Brazil,Itumbiara,31,Good,1,Good,13,Good,0,Good,31,Good
105,Mexico,Ixtaczoquitlan,88,Moderate,3,Good,13,Good,9,Good,88,Moderate
106,El Salvador,Izalco,90,Moderate,2,Good,22,Good,9,Good,90,Moderate
107,Tanzania,Izazi,28,Good,1,Good,15,Good,0,Good,28,Good
108,Russia,Izberbash,51,Moderate,1,Good,38,Good,0,Good,51,Moderate
109,India,Jabalpur,170,Unhealthy,1,Good,38,Good,0,Good,170,Unhealthy
110,Brazil,Jaguaquara,22,Good,0,Good,9,Good,1,Good,22,Good
111,India,Jahanabad,168,Unhealthy,4,Good,168,Unhealthy,1,Good,156,Unhealthy
112,Bulgaria,Jambol,40,Good,1,Good,40,Good,0,Good,32,Good
113,Poland,Jarocin,47,Good,1,Good,27,Good,2,Good,47,Good
114,Philippines,Jasaan,59,Moderate,1,Good,32,Good,0,Good,59,Moderate
115,Nigeria,Ilobu,133,Unhealthy(SG),4,Good,23,Good,3,Good,133,Unhealthy(SG)
116,Finland,Imatra,29,Good,1,Good,29,Good,1,Good,7,Good
117,Brazil,Indaial,73,Moderate,2,Good,2,Good,8,Good,73,Moderate
118,Philippines,Indang,50,Good,0,Good,24,Good,0,Good,50,Good
119,Brazil,Itagi,25,Good,0,Good,9,Good,1,Good,25,Good
120,Nigeria,Iseyin,90,Moderate,3,Good,18,Good,2,Good,90,Moderate
121,Mexico,Isla,81,Moderate,2,Good,26,Good,3,Good,81,Moderate
122,Brazil,Itaitinga,29,Good,0,Good,20,Good,1,Good,29,Good
123,Brazil,Itambe,21,Good,0,Good,8,Good,1,Good,21,Good
124,Brazil,Itapemirim,44,Good,1,Good,16,Good,1,Good,44,Good
125,South Sudan,Torit,65,Moderate,1,Good,12,Good,0,Good,65,Moderate
126,Guatemala,Totonicapan,66,Moderate,2,Good,7,Good,6,Good,66,Moderate
127,USA,Trenton,53,Moderate,1,Good,28,Good,10,Good,53,Moderate
128,USA,Trujillo Alto,56,Moderate,0,Good,23,Good,0,Good,56,Moderate
129,Ireland,Tullamore,57,Moderate,1,Good,26,Good,3,Good,57,Moderate
130,Turkey,Tunceli,62,Moderate,0,Good,35,Good,0,Good,62,Moderate
131,Vietnam,Tuyen Quang,167,Unhealthy,4,Good,167,Unhealthy,1,Good,107,Unhealthy(SG)
132,USA,Two Rivers,49,Good,1,Good,27,Good,4,Good,49,Good
133,USA,Tysons Corner,55,Moderate,2,Good,25,Good,11,Good,55,Moderate
134,Russia,Tyukalinsk,34,Good,1,Good,34,Good,0,Good,32,Good
135,India,Udupi,80,Moderate,1,Good,25,Good,0,Good,80,Moderate
136,India,Umaria,163,Unhealthy,2,Good,92,Moderate,0,Good,163,Unhealthy
137,USA,Willowbrook,126,Unhealthy(SG),4,Good,3,Good,36,Good,126,Unhealthy(SG)
138,USA,Wilmette,63,Moderate,2,Good,9,Good,22,Good,63,Moderate
139,USA,Wolf Trap,53,Moderate,2,Good,27,Good,10,Good,53,Moderate
140,USA,Woodhaven,86,Moderate,2,Good,38,Good,10,Good,86,Moderate
141,China,Wulanhaote,47,Good,2,Good,47,Good,0,Good,25,Good
142,China,Xiangdong,78,Moderate,2,Good,25,Good,7,Good,78,Moderate
143,China,Xiaoweizhai,61,Moderate,2,Good,61,Moderate,0,Good,54,Moderate
144,China,Xushan,112,Unhealthy(SG),2,Good,44,Good,4,Good,112,Unhealthy(SG)
145,Peru,Yanacancha,27,Good,0,Good,6,Good,1,Good,27,Good
146,China,Yancheng,155,Unhealthy,3,Good,155,Unhealthy,2,Good,151,Unhealthy
147,Democratic Republic of the Congo,Yangambi,121,Unhealthy(SG),4,Good,24,Good,0,Good,121,Unhealthy(SG)
148,China,Yanggu,160,Unhealthy,3,Good,138,Unhealthy(SG),5,Good,160,Unhealthy
149,China,Yangliuqing,144,Unhealthy(SG),4,Good,109,Unhealthy(SG),9,Good,144,Unhealthy(SG)
150,China,Yanji,69,Moderate,2,Good,48,Good,0,Good,69,Moderate
151,USA,Yankton,47,Good,1,Good,34,Good,3,Good,47,Good
152,Germany,Wenden,69,Moderate,1,Good,34,Good,4,Good,69,Moderate
153,USA,West Carrollton City,84,Moderate,3,Good,9,Good,24,Good,84,Moderate
154,Belgium,Wetteren,64,Moderate,1,Good,32,Good,6,Good,64,Moderate
155,Canada,Whitehorse,20,Good,1,Good,20,Good,1,Good,10,Good
156,Ireland,Wicklow,38,Good,1,Good,30,Good,3,Good,38,Good
157,Switzerland,Wil,59,Moderate,1,Good,27,Good,3,Good,59,Moderate
158,Germany,Wildeshausen,67,Moderate,1,Good,30,Good,5,Good,67,Moderate
159,USA,Williamsport,75,Moderate,2,Good,13,Good,16,Good,75,Moderate
160,USA,Fox Lake,60,Moderate,2,Good,18,Good,21,Good,60,Moderate
161,Brazil,Foz Do Iguacu,22,Good,1,Good,13,Good,0,Good,22,Good
162,Denmark,Frederikssund,36,Good,1,Good,36,Good,0,Good,25,Good
163,USA,Friendly,41,Good,1,Good,30,Good,8,Good,41,Good
164,Germany,Fuldatal,44,Good,1,Good,28,Good,2,Good,44,Good
165,Japan,Furano,29,Good,1,Good,26,Good,1,Good,29,Good
166,China,Fuzhou,168,Unhealthy,3,Good,168,Unhealthy,5,Good,99,Moderate
167,UK,Galashiels,25,Good,1,Good,25,Good,3,Good,23,Good
168,Germany,Gangelt,41,Good,1,Good,26,Good,4,Good,41,Good
169,Germany,Garbsen,36,Good,0,Good,33,Good,1,Good,36,Good
170,Cameroon,Garoua,59,Moderate,2,Good,12,Good,0,Good,59,Moderate
171,Somalia,Garowe,98,Moderate,0,Good,17,Good,0,Good,98,Moderate
172,Netherlands,Geertruidenberg,35,Good,0,Good,33,Good,2,Good,35,Good
173,Australia,Geraldton,29,Good,0,Good,29,Good,0,Good,13,Good
174,Germany,Germersheim,51,Moderate,1,Good,29,Good,3,Good,51,Moderate
175,Colombia,Girardot,103,Unhealthy(SG),4,Good,9,Good,6,Good,103,Unhealthy(SG)
176,Russia,Glubokiy,35,Good,1,Good,35,Good,0,Good,17,Good
177,UK,Golborne,35,Good,1,Good,30,Good,4,Good,35,Good
178,Portugal,Gondomar,27,Good,0,Good,27,Good,2,Good,21,Good
179,Russia,Goryachevodskiy,48,Good,1,Good,39,Good,1,Good,48,Good
180,India,Govindgarh,307,Hazardous,1,Good,45,Good,0,Good,307,Hazardous
181,Ivory Coast,Grand Lahou,54,Moderate,1,Good,25,Good,0,Good,54,Moderate
182,USA,Hoffman Estates,61,Moderate,2,Good,26,Good,16,Good,61,Moderate
183,Sweden,Hoganas,36,Good,1,Good,36,Good,1,Good,30,Good
184,USA,Holly Springs,42,Good,1,Good,42,Good,2,Good,37,Good
185,Germany,Holzminden,42,Good,0,Good,32,Good,1,Good,42,Good
186,China,Huaicheng,151,Unhealthy,4,Good,45,Good,4,Good,151,Unhealthy
187,Ethiopia,Huruta,102,Unhealthy(SG),1,Good,23,Good,0,Good,102,Unhealthy(SG)
188,Nigeria,Idanre,115,Unhealthy(SG),3,Good,24,Good,2,Good,115,Unhealthy(SG)
189,Italy,Iglesias,64,Moderate,1,Good,53,Moderate,1,Good,64,Moderate
190,Germany,Ihlow,40,Good,1,Good,30,Good,2,Good,40,Good
191,Japan,Iizuka,45,Good,1,Good,45,Good,0,Good,38,Good
192,Thailand,Sungai Kolok,65,Moderate,1,Good,34,Good,0,Good,65,Moderate
193,Indonesia,Sungaipenuh,17,Good,1,Good,13,Good,0,Good,17,Good
194,Russia,Suvorovskaya,52,Moderate,1,Good,39,Good,1,Good,52,Moderate
195,Japan,Suzu,69,Moderate,1,Good,69,Moderate,1,Good,60,Moderate
196,Poland,Swiecie,44,Good,1,Good,33,Good,1,Good,44,Good
197,Hungary,Szeged,50,Good,1,Good,41,Good,1,Good,50,Good
198,Hungary,Szerencs,72,Moderate,1,Good,42,Good,1,Good,72,Moderate
199,Tunisia,Taburbah,49,Good,1,Good,49,Good,1,Good,32,Good
200,India,Tadepallegudem,127,Unhealthy(SG),2,Good,65,Moderate,1,Good,127,Unhealthy(SG)
201,Iran,Tafresh,125,Unhealthy(SG),2,Good,125,Unhealthy(SG),1,Good,82,Moderate
202,Philippines,Tagaytay,41,Good,1,Good,25,Good,1,Good,41,Good
203,Japan,Tajimi,52,Moderate,1,Good,34,Good,3,Good,52,Moderate
204,Japan,Takahagi,47,Good,1,Good,47,Good,1,Good,44,Good
205,Japan,Takahashi,36,Good,1,Good,36,Good,3,Good,34,Good
206,India,Tal,155,Unhealthy,1,Good,39,Good,0,Good,155,Unhealthy
207,Philippines,Talacogon,37,Good,1,Good,19,Good,0,Good,37,Good
208,Russia,Taldom,46,Good,1,Good,27,Good,1,Good,46,Good
209,Kazakhstan,Talgar,69,Moderate,1,Good,42,Good,0,Good,69,Moderate
210,USA,Tamiami,64,Moderate,1,Good,18,Good,12,Good,64,Moderate
211,Israel,Tamra,92,Moderate,2,Good,52,Moderate,8,Good,92,Moderate
212,Japan,Tanashi,58,Moderate,1,Good,43,Good,3,Good,58,Moderate
213,Romania,Tandarei,41,Good,1,Good,41,Good,0,Good,38,Good
214,Philippines,Tantangan,35,Good,1,Good,20,Good,0,Good,35,Good
215,Indonesia,Tarogong,88,Moderate,2,Good,53,Moderate,1,Good,88,Moderate
216,Turkey,Tatvan,45,Good,0,Good,45,Good,0,Good,43,Good
217,India,Yaval,102,Unhealthy(SG),1,Good,38,Good,0,Good,102,Unhealthy(SG)
218,UK,Yeovil,58,Moderate,1,Good,24,Good,7,Good,58,Moderate
219,China,Yuanping,143,Unhealthy(SG),2,Good,35,Good,5,Good,143,Unhealthy(SG)
220,China,Yuncheng,187,Unhealthy,2,Good,36,Good,8,Good,187,Unhealthy
221,Poland,Zambrow,35,Good,1,Good,35,Good,0,Good,17,Good
222,Poland,Zamosc,48,Good,1,Good,35,Good,1,Good,48,Good
223,Belgium,Zaventem,58,Moderate,1,Good,29,Good,6,Good,58,Moderate
224,Belgium,Zemst,65,Moderate,1,Good,27,Good,8,Good,65,Moderate
225,China,Zhaozhou,73,Moderate,2,Good,66,Moderate,0,Good,73,Moderate
226,China,Zhicheng,160,Unhealthy,4,Good,36,Good,13,Good,160,Unhealthy
227,China,Zhongshan,98,Moderate,3,Good,33,Good,9,Good,98,Moderate
228,China,Zhuji,156,Unhealthy,4,Good,45,Good,10,Good,156,Unhealthy
229,Mexico,Zimatlan,75,Moderate,2,Good,9,Good,6,Good,75,Moderate
230,Mexico,Zinacantepec,163,Unhealthy,4,Good,8,Good,18,Good,163,Unhealthy
231,Russia,Zmeinogorsk,35,Good,1,Good,35,Good,0,Good,21,Good
232,Netherlands,Aalburg,30,Good,0,Good,30,Good,2,Good,29,Good
233,Spain,Abaran,47,Good,1,Good,21,Good,2,Good,47,Good
234,Italy,Abbiategrasso,69,Moderate,1,Good,37,Good,4,Good,69,Moderate
235,Ivory Coast,Abidjan,105,Unhealthy(SG),4,Good,15,Good,4,Good,105,Unhealthy(SG)
236,Mexico,Acuautla,189,Unhealthy,2,Good,9,Good,15,Good,189,Unhealthy
237,USA,Acworth,64,Moderate,2,Good,37,Good,8,Good,64,Moderate
238,USA,Adelphi,54,Moderate,1,Good,32,Good,5,Good,54,Moderate
239,India,Afzalgarh,198,Unhealthy,4,Good,198,Unhealthy,3,Good,188,Unhealthy
240,Nigeria,Agbor,139,Unhealthy(SG),7,Good,13,Good,5,Good,139,Unhealthy(SG)
241,France,Aix En Provence,55,Moderate,1,Good,26,Good,3,Good,55,Moderate
242,Myanmar,Akyab,145,Unhealthy(SG),1,Good,46,Good,0,Good,145,Unhealthy(SG)
243,USA,Alabaster,80,Moderate,1,Good,18,Good,10,Good,80,Moderate
244,Russia,Alagir,50,Good,1,Good,36,Good,1,Good,50,Good
245,Belgium,Alken,35,Good,1,Good,25,Good,3,Good,35,Good
246,Canada,Alma,55,Moderate,1,Good,27,Good,0,Good,55,Moderate
247,Brazil,Almirante Tamandare,13,Good,1,Good,12,Good,1,Good,13,Good
248,Spain,Almoradi,48,Good,1,Good,23,Good,3,Good,48,Good
249,Papua New Guinea,Alotau,28,Good,0,Good,28,Good,0,Good,13,Good
250,Germany,Altotting,50,Good,1,Good,29,Good,3,Good,50,Good
251,Madagascar,Ambovombe,26,Good,0,Good,26,Good,0,Good,20,Good
252,China,Anqiu,107,Unhealthy(SG),2,Good,107,Unhealthy(SG),5,Good,86,Moderate
253,Madagascar,Antalaha,22,Good,0,Good,22,Good,0,Good,20,Good
254,USA,Antioch,76,Moderate,3,Good,7,Good,25,Good,76,Moderate
255,Lithuania,Anyksciai,47,Good,1,Good,32,Good,0,Good,47,Good
256,Ghana,Apam,104,Unhealthy(SG),2,Good,14,Good,1,Good,104,Unhealthy(SG)
257,Mexico,Apaseo El Grande,60,Moderate,1,Good,16,Good,5,Good,60,Moderate
258,Brazil,Aragarcas,32,Good,1,Good,3,Good,2,Good,32,Good
259,Russia,Arkadak,28,Good,1,Good,28,Good,1,Good,15,Good
260,France,Armentieres,34,Good,0,Good,28,Good,2,Good,34,Good
261,Russia,Arsk,28,Good,1,Good,28,Good,1,Good,19,Good
262,Azerbaijan,Artyom,48,Good,1,Good,35,Good,0,Good,48,Good
263,Armenia,Ashtarak,39,Good,1,Good,29,Good,1,Good,39,Good
264,Ethiopia,Asosa,97,Moderate,1,Good,14,Good,0,Good,97,Moderate
265,Iran,Astaneh Ye Ashrafiyeh,75,Moderate,1,Good,37,Good,0,Good,75,Moderate
266,India,Atarra,194,Unhealthy,1,Good,44,Good,0,Good,194,Unhealthy
267,Guatemala,Atescatempa,104,Unhealthy(SG),3,Good,5,Good,10,Good,104,Unhealthy(SG)
268,Italy,Atri,57,Moderate,1,Good,40,Good,3,Good,57,Moderate
269,Ukraine,Avdiyivka,41,Good,1,Good,41,Good,3,Good,27,Good
270,Portugal,Avintes,37,Good,1,Good,16,Good,7,Good,37,Good
271,Malaysia,Ayer Keroh,59,Moderate,1,Good,34,Good,0,Good,59,Moderate
272,UK,Ayr,29,Good,1,Good,29,Good,2,Good,20,Good
273,Netherlands,Baarn,34,Good,0,Good,34,Good,1,Good,26,Good
274,Serbia,Backa Palanka,70,Moderate,1,Good,41,Good,0,Good,70,Moderate
275,Germany,Bad Langensalza,32,Good,0,Good,30,Good,1,Good,32,Good
276,Pakistan,Bahawalnagar,500,Hazardous,1,Good,38,Good,1,Good,466,Hazardous
277,South Africa,Balfour,380,Hazardous,31,Good,1,Good,26,Good,380,Hazardous
278,South Africa,Ballitoville,222,Very Unhealthy,12,Good,5,Good,14,Good,222,Very Unhealthy
279,Thailand,Ban Phai,52,Moderate,0,Good,28,Good,0,Good,52,Moderate
280,Malaysia,Bandar Penggaram,76,Moderate,1,Good,39,Good,0,Good,76,Moderate
281,Philippines,Bangued,27,Good,0,Good,23,Good,0,Good,27,Good
282,Slovakia,Banovce,59,Moderate,1,Good,26,Good,2,Good,59,Moderate
283,Germany,Bargteheide,38,Good,0,Good,28,Good,2,Good,38,Good
284,USA,Bartlesville,56,Moderate,1,Good,23,Good,6,Good,56,Moderate
285,Gambia,Basse,127,Unhealthy(SG),1,Good,18,Good,0,Good,127,Unhealthy(SG)
286,Pakistan,Bat Khela,117,Unhealthy(SG),1,Good,117,Unhealthy(SG),1,Good,78,Moderate
287,Malaysia,Batu Gajah,92,Moderate,2,Good,57,Moderate,1,Good,92,Moderate
288,India,Bazpur,182,Unhealthy,5,Good,170,Unhealthy,5,Good,182,Unhealthy
289,Italy,Castel Goffredo,124,Unhealthy(SG),2,Good,32,Good,7,Good,124,Unhealthy(SG)
290,Italy,Catanzaro,68,Moderate,2,Good,68,Moderate,6,Good,57,Moderate
291,Philippines,Catbalogan,68,Moderate,1,Good,26,Good,0,Good,68,Moderate
292,Ecuador,Cayambe,39,Good,1,Good,4,Good,2,Good,39,Good
293,Bosnia and Herzegovina,Cazin,50,Good,1,Good,33,Good,0,Good,50,Good
294,Italy,Cernusco Sul Naviglio,103,Unhealthy(SG),1,Good,33,Good,6,Good,103,Unhealthy(SG)
295,Italy,Cesenatico,38,Good,1,Good,36,Good,5,Good,38,Good
296,Czechia,Ceske Budejovice,61,Moderate,1,Good,38,Good,1,Good,61,Moderate
297,Argentina,Chacabuco,17,Good,0,Good,17,Good,1,Good,17,Good
298,Peru,Chachapoyas,21,Good,0,Good,4,Good,0,Good,21,Good
299,France,Chalon Sur Saone,32,Good,1,Good,32,Good,1,Good,20,Good
300,China,Chaoyang,151,Unhealthy,3,Good,119,Unhealthy(SG),1,Good,151,Unhealthy
301,Vietnam,Chau Doc,57,Moderate,1,Good,32,Good,0,Good,57,Moderate
302,Russia,Cherepanovo,38,Good,1,Good,38,Good,0,Good,35,Good
303,Russia,Cherkessk,49,Good,1,Good,40,Good,0,Good,49,Good
304,India,Chhabra,171,Unhealthy,1,Good,42,Good,0,Good,171,Unhealthy
305,India,Chilakalurupet,91,Moderate,1,Good,28,Good,1,Good,91,Moderate
306,Mexico,Chilpancingo,72,Moderate,2,Good,4,Good,5,Good,72,Moderate
307,India,Chipurupalle,153,Unhealthy,2,Good,22,Good,6,Good,153,Unhealthy
308,Poland,Chojnow,59,Moderate,1,Good,25,Good,2,Good,59,Moderate
309,India,Chotila,157,Unhealthy,0,Good,31,Good,1,Good,157,Unhealthy
310,USA,Cimarron Hills,73,Moderate,1,Good,32,Good,2,Good,73,Moderate
311,Brazil,Claudio,71,Moderate,2,Good,3,Good,6,Good,71,Moderate
312,Brazil,Clevelandia,17,Good,0,Good,17,Good,0,Good,11,Good
313,Brazil,Coari,46,Good,1,Good,2,Good,0,Good,46,Good
314,UK,Coatbridge,35,Good,1,Good,12,Good,9,Good,35,Good
315,Ireland,Cobh,24,Good,0,Good,24,Good,1,Good,16,Good
316,Brazil,Colatina,45,Good,1,Good,14,Good,2,Good,45,Good
317,Romania,Comanesti,61,Moderate,1,Good,40,Good,0,Good,61,Moderate
318,Dominican Republic,Comendador,65,Moderate,1,Good,12,Good,6,Good,65,Moderate
319,Italy,Como,112,Unhealthy(SG),1,Good,34,Good,4,Good,112,Unhealthy(SG)
320,Brazil,Conde,19,Good,0,Good,19,Good,0,Good,11,Good
321,UK,Consett,31,Good,0,Good,31,Good,2,Good,22,Good
322,USA,Cooper City,152,Unhealthy,4,Good,4,Good,19,Good,152,Unhealthy
323,USA,Copperas Cove,31,Good,1,Good,21,Good,1,Good,31,Good
324,Brazil,Cornelio Procopio,37,Good,1,Good,12,Good,1,Good,37,Good
325,Argentina,Corrientes,13,Good,1,Good,12,Good,0,Good,13,Good
326,Mexico,Cotija,41,Good,1,Good,8,Good,3,Good,41,Good
327,Italy,Crevalcore,103,Unhealthy(SG),2,Good,28,Good,9,Good,103,Unhealthy(SG)
328,Azerbaijan,Culfa,52,Moderate,1,Good,35,Good,0,Good,52,Moderate
329,Spain,Culleredo,30,Good,0,Good,30,Good,2,Good,13,Good
330,India,Cuncolim,73,Moderate,0,Good,25,Good,0,Good,73,Moderate
331,Brazil,Curvelo,42,Good,1,Good,2,Good,4,Good,42,Good
